20260105	11:08:24 	 0d9b24c1-ab07-4066-9d78-7ebfea3476f3 	 GET 	 undefined 	 /} 
20260105	11:08:24 	 3be45f23-9e38-4346-aa81-265dac7ef7a7 	 GET 	 undefined 	 /css/style.css} 
20260105	11:16:52 	 fcaa100a-f0dd-4d62-beff-a777257a9343 	 GET 	 undefined 	 /} 
20260105	11:16:52 	 bebb26e8-594d-4989-b32b-0c9e929b4d90 	 GET 	 undefined 	 /} 
20260105	11:16:52 	 cab938f6-d688-4692-8c51-88ae2765b113 	 GET 	 undefined 	 /css/style.css} 
20260105	11:16:52 	 d6af184c-10dc-4aef-a600-6e45e9457fb4 	 GET 	 undefined 	 /css/style.css} 
20260105	23:05:45 	 587b1a6e-39f9-4d69-83d3-f1ba4734705f 	 GET 	 undefined 	 /} 
20260105	23:05:45 	 47905981-0e0b-4f81-9acc-16766aeeb297 	 GET 	 undefined 	 /} 
20260105	23:05:45 	 3023e097-eeb6-419b-8400-7f309989772d 	 GET 	 undefined 	 /css/style.css} 
20260105	23:05:45 	 c189944c-090e-460f-b776-c7572557aca1 	 GET 	 undefined 	 /css/style.css} 
20260105	23:05:45 	 d73fc956-3827-4407-83b4-3d6fd17c5685 	 GET 	 undefined 	 /favicon.ico} 
20260105	23:05:45 	 533b9c19-182d-47a4-9bc9-3a2fed36629b 	 GET 	 undefined 	 /favicon.ico} 
20260105	23:05:56 	 1bde506b-5338-4778-b64c-56de46f45046 	 GET 	 undefined 	 /subdir/test} 
20260105	23:05:56 	 0b55695c-2e0e-47ee-9665-32c455189e0d 	 GET 	 undefined 	 /subdir/test} 
20260105	23:06:25 	 20065748-724a-4460-98ae-94b5b08e6b61 	 GET 	 undefined 	 /subdir/test} 
20260105	23:06:25 	 937a2008-cc11-463b-865c-066beb9dcd6a 	 GET 	 undefined 	 /subdir/test} 
20260105	23:06:46 	 20a2e49e-3db2-42d6-9830-a37cb87a8225 	 GET 	 undefined 	 /subdir/test} 
20260105	23:06:46 	 25d20168-712e-4623-9b06-f204e2c74e60 	 GET 	 undefined 	 /subdir/test} 
20260105	23:07:27 	 b052b78c-2488-4744-9845-b91dfff0dc90 	 GET 	 undefined 	 /subdir/} 
20260105	23:07:27 	 73140df7-f2b8-4b42-80cd-2e34fa54254d 	 GET 	 undefined 	 /subdir/} 
20260105	23:11:05 	 9267213e-ebf8-4e9f-bb25-27b64cd95364 	 GET 	 undefined 	 /subdir/} 
20260105	23:11:05 	 8b7262cb-26f1-486d-a665-29ad894df4f8 	 GET 	 undefined 	 /subdir/} 
20260105	23:11:17 	 a7594061-935d-4951-9699-a588efbbab5a 	 GET 	 undefined 	 /subdir/any} 
20260105	23:11:17 	 dd2324a9-8d1a-4236-912f-6c1785b750b9 	 GET 	 undefined 	 /subdir/any} 
20260105	23:11:17 	 b9845490-1c38-4c44-b76b-8b2d96bfae06 	 GET 	 undefined 	 /css/style.css} 
20260105	23:11:17 	 bad9cb09-bb00-4126-8200-b394e96e94d0 	 GET 	 undefined 	 /css/style.css} 
20260105	23:19:51 	 218b8488-1f47-450f-a550-74290ffd00e0 	 GET 	 undefined 	 /} 
20260105	23:19:51 	 dedb6d73-8aa6-464d-8a2e-56557e5498cf 	 GET 	 undefined 	 /} 
20260105	23:19:51 	 56f12617-9f1f-46e9-9e28-a1dc20846d3a 	 GET 	 undefined 	 /css/style.css} 
20260105	23:19:51 	 2910062c-9863-4ccf-9c42-5a60d599ac0f 	 GET 	 undefined 	 /css/style.css} 
20260105	23:19:57 	 69af0805-9898-4236-bed8-91a4d7474f85 	 GET 	 undefined 	 /new-page.html} 
20260105	23:19:57 	 05d987bc-4efc-4776-a627-041ba36e9957 	 GET 	 undefined 	 /new-page.html} 
20260105	23:19:57 	 10a37fe1-f1e8-4578-bfc0-936e596b43ad 	 GET 	 undefined 	 /new-page.html} 
20260105	23:19:57 	 3945d1fb-cf1e-4c65-8261-8b6a7685c295 	 GET 	 undefined 	 /new-page.html} 
20260105	23:25:13 	 043017a0-463e-4aa2-b555-584821dc35e0 	 GET 	 undefined 	 /new-page.html} 
20260105	23:25:13 	 b5ce1c14-9962-4416-b829-28a15adf87db 	 GET 	 undefined 	 /new-page.html} 
20260105	23:25:28 	 b390a56b-df9e-4375-a616-8fcc386f8073 	 GET 	 undefined 	 /} 
20260105	23:25:28 	 27f6367b-782e-4508-95cf-d2c95e54fb4c 	 GET 	 undefined 	 /} 
20260105	23:25:39 	 e691c923-0018-4219-9dfe-866021aba9e8 	 GET 	 undefined 	 /} 
20260105	23:25:39 	 2aaebf7d-dd43-454b-ab86-fba034d0ba93 	 GET 	 undefined 	 /} 
20260105	23:25:39 	 4767b88e-6f87-4faa-a582-3e64a1fa1bd2 	 GET 	 undefined 	 /css/style.css} 
20260105	23:25:39 	 8a4c1f4b-1bc8-4527-9126-d2e464c9e58d 	 GET 	 undefined 	 /css/style.css} 
20260105	23:38:51 	 392f47c9-0354-4aac-bb96-c7754c95489f 	 GET 	 undefined 	 /new-page.html} 
20260105	23:38:51 	 338ad027-4c44-4830-a2ea-277a1ae552f2 	 GET 	 undefined 	 /new-page.html} 
20260105	23:38:51 	 bb8ac549-4e6f-47c7-9ae7-037c854299e4 	 GET 	 undefined 	 /css/style.css} 
20260105	23:38:51 	 7a6d1b65-dd1e-477a-a401-e755effacec5 	 GET 	 undefined 	 /css/style.css} 
20260105	23:38:51 	 75b7c107-a096-4276-9008-888fa2854ba5 	 GET 	 undefined 	 /img/img1.jpg} 
20260105	23:38:51 	 26e24b16-f7a5-44a4-8113-cafd87e9aa3c 	 GET 	 undefined 	 /img/img1.jpg} 
20260105	23:45:20 	 18dd2bf0-eb5f-4945-a8cf-56c0b870bb4d 	 GET 	 undefined 	 /old-page.html} 
20260105	23:45:20 	 7addba71-7a88-4fc2-8f9b-ebb38e18144b 	 GET 	 undefined 	 /old-page.html} 
20260105	23:45:20 	 6a3a18f2-5a9d-45b6-96ca-5c5f400c1021 	 GET 	 undefined 	 /new-page.html} 
20260105	23:45:20 	 9e1c11df-2005-4926-8994-96f1eb5c30e8 	 GET 	 undefined 	 /new-page.html} 
20260105	23:45:20 	 78238406-0941-46c0-b3c5-ad619ff3a018 	 GET 	 undefined 	 /css/style.css} 
20260105	23:45:20 	 c7eedc3b-1385-450b-a0b6-fb260b82d702 	 GET 	 undefined 	 /css/style.css} 
20260105	23:45:20 	 7e8c00a2-ef1a-41ad-9d84-16708e6bcad3 	 GET 	 undefined 	 /img/img1.jpg} 
20260105	23:45:20 	 adb39da8-482a-4ec3-9ecf-154bb86e9b6a 	 GET 	 undefined 	 /img/img1.jpg} 
